PICid,Mass,Radius,Teff,BOLrandomSysNSRNCAM_T,Nu_max_Est
2618801000023,1.21160300707776,1.34689430304789,6190.89798206589,10.90999984741211,1992.3373323667163
2612807000082,1.40168670297435,2.03448352856091,6156.44320217729,11.319999694824219,1013.0340537724754
2608610000003,1.39019995401271,1.60377732470606,6638.62987438773,13.270000457763672,1557.0275253743366
2596408000165,1.35216414400761,1.82699025192304,6177.53287979338,12.800000190734863,1209.7504944231832
2577865000019,1.17624163877357,1.21506894561958,6239.98789858758,12.109999656677246,2367.2777637037516
2575920000104,1.14170535555034,1.39411677836833,5772.23126416124,13.229999542236328,1814.806202321848
2555472000229,1.20643249809723,1.29960484055774,6243.77384549956,13.479999542236328,2121.793872132311
2547321000398,1.31571585914395,1.42433662564373,6567.17616608309,13.550000190734863,1878.4250810672181
2543098000059,1.21058096455846,1.263567845033,6326.59837008505,11.640000343322754,2237.4738228466013
2504374000121,1.19904575021927,1.32173933631188,6170.13445167318,13.279999732971191,2050.8939115877565
2496118000587,1.34268273024424,1.78715206436466,6183.85535262994,12.930000305175781,1254.7786296930128
2467489000191,1.24085930511811,1.27247149271496,6461.33596063521,9.8149995803833,2237.7503984497653
2467502000409,1.27269828761244,1.35597384969717,6473.51367320485,14.319999694824219,2019.29226965322
2459261000546,1.27072386270554,1.45025266455765,6313.66592405102,12.9399995803833,1784.7172786333056
2455191000167,1.07723269069073,1.18013775136038,5789.76250261425,9.916999816894531,2385.9433582674237
2451019000309,1.18777961121225,1.43765662243126,5933.90118268581,12.699999809265137,1751.0629490078884
2438800000411,1.28899013525048,1.67444289066468,6084.03238318561,13.239999771118164,1383.4374928999919
2434526000027,1.3096436340934,1.60832838938725,6266.45227054209,11.699999809265137,1501.2022210436078
2399809000015,1.17125308350565,1.20425327236337,6234.21159227657,10.430000305175781,2400.881326803614
2399692000030,1.30091105700277,1.35762477526061,6606.39668516143,14.229999542236328,2038.22515663096
2387542000514,1.24618761407291,1.28982237123671,6457.09756869164,13.369999885559082,2188.0202223526258
2332142000046,1.18517080861151,1.34072718625072,6070.4544334159,13.90999984741211,1986.2590946036069
2324045000285,1.15593421183689,1.58350247450487,5579.70694457561,11.65999984741211,1448.5594244611536
2295300000010,1.29706637848224,1.35145014689478,6598.39409448186,13.039999961853027,2052.0569202523775
2291183000132,1.33589143693456,1.68849312492354,6278.30754699946,12.859999656677246,1388.0262059985942
2258472000170,1.22777434799507,1.44796344278155,6111.92501499921,11.930000305175781,1758.1694855185626
2961876000234,2.7491858,1.9687434,11469.427,12.960000038146973,1554.5381581779914
